SettlementPoint,Average Price,Month,Year
LZ_LCRA,31.175577956989258,August,2016
LZ_LCRA,27.678010752688152,August,2017
LZ_LCRA,31.807970430107524,August,2018
LZ_LCRA,126.67076612903215,August,2019
LZ_LCRA,25.487876344086036,December,2016
LZ_LCRA,21.11766129032256,December,2017
LZ_LCRA,30.582661290322633,December,2018
LZ_LCRA,19.456881720430097,December,2019
LZ_LCRA,15.488548850574706,February,2016
LZ_LCRA,20.660818452380937,February,2017
LZ_LCRA,21.76224702380953,February,2018
LZ_LCRA,21.66697916666667,February,2019
LZ_LCRA,19.31745967741934,January,2016
LZ_LCRA,23.43627688172043,January,2017
LZ_LCRA,38.99256720430111,January,2018
LZ_LCRA,24.936303763440858,January,2019
LZ_LCRA,27.592217741935475,July,2016
LZ_LCRA,31.905712365591352,July,2017
LZ_LCRA,79.06994623655915,July,2018
LZ_LCRA,29.74791666666666,July,2019
LZ_LCRA,24.16441666666668,June,2016
LZ_LCRA,28.639083333333343,June,2017
LZ_LCRA,30.365555555555577,June,2018
LZ_LCRA,24.51954166666666,June,2019
LZ_LCRA,16.79629878869449,March,2016
LZ_LCRA,23.437133243607,March,2017
LZ_LCRA,22.051305518169595,March,2018
LZ_LCRA,27.649313593539745,March,2019
LZ_LCRA,18.18278225806455,May,2016
LZ_LCRA,25.637956989247325,May,2017
LZ_LCRA,34.73540322580648,May,2018
LZ_LCRA,24.50868279569892,May,2019
LZ_LCRA,19.541680555555562,November,2016
LZ_LCRA,23.047124999999994,November,2017
LZ_LCRA,30.515805555555563,November,2018
LZ_LCRA,24.485222222222248,November,2019
LZ_LCRA,26.068440860215063,October,2016
LZ_LCRA,24.484260752688193,October,2017
LZ_LCRA,30.06987903225809,October,2018
LZ_LCRA,29.015806451612917,October,2019
LZ_LCRA,27.03994444444444,September,2016
LZ_LCRA,24.813430555555563,September,2017
LZ_LCRA,27.18726388888886,September,2018
LZ_LCRA,82.46723611111106,September,2019
LZ_NORTH,19.08763888888888,April,2016
LZ_NORTH,21.975805555555546,April,2017
LZ_NORTH,24.36688888888891,April,2018
LZ_NORTH,23.718430555555557,April,2019
LZ_NORTH,30.148575268817243,August,2016
LZ_NORTH,27.060362903225812,August,2017
LZ_NORTH,31.97158602150531,August,2018
LZ_NORTH,126.60091397849466,August,2019
LZ_NORTH,25.28624999999999,December,2016
LZ_NORTH,21.4081317204301,December,2017
LZ_NORTH,31.131948924731233,December,2018
LZ_NORTH,19.006801075268804,December,2019
LZ_NORTH,15.46221264367817,February,2016
LZ_NORTH,19.550014880952375,February,2017
LZ_NORTH,21.84046130952379,February,2018
LZ_NORTH,20.85114583333333,February,2019
LZ_NORTH,19.187997311827974,January,2016
LZ_NORTH,23.603024193548404,January,2017
LZ_NORTH,37.728521505376335,January,2018
LZ_NORTH,24.36783602150537,January,2019
LZ_NORTH,27.415779569892457,July,2016
LZ_NORTH,31.186841397849467,July,2017
LZ_NORTH,79.84618279569887,July,2018
LZ_NORTH,29.834946236559162,July,2019
LZ_NORTH,23.562680555555552,June,2016
LZ_NORTH,26.893736111111114,June,2017
LZ_NORTH,31.301611111111136,June,2018
LZ_NORTH,25.20791666666667,June,2019
LZ_NORTH,17.461507402422594,March,2016
LZ_NORTH,21.839407806191105,March,2017
LZ_NORTH,22.640551816958272,March,2018
LZ_NORTH,28.594037685060574,March,2019
LZ_NORTH,18.182889784946234,May,2016
LZ_NORTH,24.557513440860216,May,2017
LZ_NORTH,37.451881720430116,May,2018
LZ_NORTH,24.011451612903222,May,2019
